customer_id,age,yrs_experience,family_size,education_level,income,mortgage_amt,credit_card_acct,credit_card_spend,share_trading_acct,fixed_deposit_acct,online_acct,personal_loan
3815,40.0,9.0,3.0,Graduate,60.0,0,yes,1.7,0,0,yes,no
5737,65.0,27.0,4.0,Advanced or Professional,36.0,90,no,0.0,0,0,yes,no
4209,61.0,3.0,2.0,Undergraduate,145.0,314,no,0.0,0,1,yes,yes
4734,29.0,14.0,1.0,Undergraduate,52.0,0,no,0.0,1,0,yes,no
2551,43.0,23.0,4.0,Graduate,33.0,0,no,0.0,0,0,yes,no
4491,44.0,18.0,3.0,Advanced or Professional,49.0,0,no,0.0,0,0,yes,no
706,42.0,16.0,4.0,Advanced or Professional,23.0,0,no,0.0,0,0,yes,no
5327,64.0,38.0,2.0,Undergraduate,112.0,0,no,0.0,0,0,no,no
5269,43.0,7.0,4.0,Graduate,28.0,83,yes,0.9,0,0,yes,no
1918,25.0,8.0,1.0,Undergraduate,47.0,0,no,0.0,0,0,no,no
4542,,,,Undergraduate,,155,no,0.0,0,0,yes,no
4359,25.0,15.0,2.0,Advanced or Professional,40.0,0,no,0.0,0,0,yes,no
2179,64.0,13.0,2.0,Graduate,175.0,0,no,0.0,0,1,no,yes
3783,64.0,25.0,3.0,Undergraduate,77.0,173,no,0.0,0,0,yes,no
371,64.0,27.0,4.0,Advanced or Professional,58.0,232,no,0.0,1,0,yes,no
3852,36.0,22.0,1.0,Graduate,82.0,0,no,0.0,0,0,yes,no
758,35.0,1.0,4.0,Advanced or Professional,112.0,0,no,0.0,0,0,yes,no
1051,26.0,24.0,2.0,Undergraduate,69.0,0,yes,1.0,0,0,no,no
2613,45.0,10.0,2.0,Undergraduate,149.0,287,yes,0.6,0,0,yes,no
3649,58.0,1.0,3.0,Undergraduate,66.0,0,yes,1.9,1,0,yes,no
3181,31.0,11.0,2.0,Graduate,182.0,262,yes,4.7,1,0,yes,yes
2330,29.0,31.0,2.0,Graduate,144.0,96,no,0.0,0,0,yes,yes
3411,28.0,9.0,1.0,Graduate,79.0,0,no,0.0,0,0,yes,no
1568,34.0,4.0,1.0,Advanced or Professional,45.0,84,no,0.0,0,0,yes,no
337,,3.0,,Graduate,258.0,152,no,0.0,0,0,no,no
1591,45.0,19.0,1.0,Graduate,143.0,291,no,0.0,0,1,yes,yes
4997,36.0,24.0,1.0,Undergraduate,112.0,124,yes,0.3,1,0,yes,no
4566,62.0,,,Undergraduate,,94,yes,1.2,0,0,yes,no
772,36.0,11.0,2.0,Undergraduate,58.0,0,no,0.0,0,0,no,no
3866,67.0,3.0,2.0,Undergraduate,79.0,0,no,0.0,0,0,yes,no
2381,35.0,5.0,2.0,Graduate,172.0,132,yes,0.3,0,0,no,yes
4927,51.0,36.0,3.0,Graduate,93.0,0,yes,0.6,0,0,yes,no
3683,32.0,27.0,4.0,Advanced or Professional,147.0,364,no,0.0,0,0,yes,yes
2833,27.0,15.0,2.0,Graduate,94.0,0,yes,0.5,0,0,no,no
1296,53.0,4.0,2.0,Advanced or Professional,80.0,167,no,0.0,0,0,no,no
1012,59.0,10.0,2.0,Graduate,50.0,0,no,0.0,0,0,yes,no
4792,61.0,33.0,1.0,Advanced or Professional,121.0,190,no,0.0,0,0,yes,yes
2250,27.0,14.0,1.0,Undergraduate,15.0,100,yes,4.4,0,0,yes,no
4367,49.0,37.0,1.0,Graduate,91.0,0,no,0.0,0,0,no,no
5794,33.0,39.0,4.0,Advanced or Professional,174.0,0,no,0.0,0,0,no,yes
2267,51.0,11.0,2.0,Graduate,29.0,149,no,0.0,0,0,yes,no
3337,66.0,40.0,2.0,Undergraduate,99.0,0,yes,0.2,0,0,no,no
5087,46.0,34.0,4.0,Advanced or Professional,23.0,0,no,0.0,1,0,no,no
2271,59.0,33.0,2.0,Advanced or Professional,48.0,72,no,0.0,0,0,yes,no
5459,40.0,13.0,4.0,Undergraduate,100.0,0,no,0.0,0,1,no,yes
173,43.0,28.0,2.0,Graduate,78.0,0,no,0.0,0,0,yes,no
2892,37.0,2.0,2.0,Advanced or Professional,203.0,0,no,0.0,0,0,yes,yes
3945,44.0,17.0,1.0,Undergraduate,74.0,224,no,0.0,0,0,no,no
612,38.0,22.0,2.0,Graduate,40.0,0,no,0.0,0,0,no,no
4625,31.0,42.0,4.0,Undergraduate,23.0,130,no,0.0,0,0,no,no
3809,,,,Undergraduate,,0,no,0.0,0,0,yes,no
2297,55.0,10.0,4.0,Graduate,64.0,119,no,0.0,0,0,yes,no
1457,61.0,37.0,2.0,Undergraduate,40.0,95,no,0.0,0,0,yes,no
3252,61.0,35.0,4.0,Graduate,107.0,126,yes,2.0,0,0,yes,no
732,35.0,29.0,4.0,Undergraduate,145.0,104,no,0.0,0,0,yes,no
1817,36.0,31.0,4.0,Graduate,149.0,230,no,0.0,0,0,yes,yes
4515,28.0,11.0,3.0,Undergraduate,40.0,0,no,0.0,1,0,no,no
4601,64.0,36.0,3.0,Undergraduate,44.0,0,no,0.0,0,0,no,no
1661,59.0,30.0,3.0,Undergraduate,112.0,0,no,0.0,0,1,yes,no
3284,43.0,17.0,2.0,Advanced or Professional,48.0,0,yes,0.6,0,0,yes,no
4139,63.0,18.0,2.0,Advanced or Professional,102.0,0,yes,2.7,0,0,yes,yes
410,41.0,6.0,2.0,Graduate,113.0,166,no,0.0,0,0,no,yes
2749,35.0,34.0,3.0,Undergraduate,33.0,0,no,0.0,0,0,yes,no
1447,57.0,8.0,2.0,Advanced or Professional,82.0,126,yes,1.5,0,0,yes,no
3339,34.0,19.0,2.0,Advanced or Professional,106.0,0,no,0.0,0,0,no,no
2381,28.0,4.0,1.0,Advanced or Professional,156.0,214,no,0.0,0,0,yes,no
650,35.0,0.0,1.0,Advanced or Professional,54.0,0,yes,1.9,0,0,no,no
4136,58.0,37.0,4.0,Undergraduate,37.0,0,yes,3.2,0,0,no,no
1769,47.0,1.0,3.0,Undergraduate,55.0,0,no,0.0,1,0,no,no
793,26.0,42.0,1.0,Undergraduate,53.0,0,no,0.0,0,0,yes,no
2205,57.0,14.0,4.0,Graduate,77.0,0,yes,0.4,0,0,yes,no
1506,40.0,29.0,3.0,Advanced or Professional,99.0,0,no,0.0,0,1,yes,no
809,,64.0,4.0,Advanced or Professional,,80,no,0.0,0,0,yes,no
3030,25.0,40.0,3.0,Undergraduate,87.0,0,no,0.0,0,0,no,no
809,42.0,35.0,1.0,Undergraduate,22.0,0,yes,2.1,0,0,no,no
527,52.0,40.0,2.0,Undergraduate,8.0,145,no,0.0,1,0,no,no
67,50.0,17.0,1.0,Advanced or Professional,91.0,0,no,0.0,0,0,yes,no
1779,58.0,20.0,3.0,Undergraduate,10.0,78,yes,2.7,0,0,no,no
4477,45.0,42.0,4.0,Undergraduate,22.0,0,yes,0.7,0,0,no,no
3430,30.0,8.0,1.0,Undergraduate,135.0,0,no,0.0,0,0,no,no
4181,41.0,28.0,3.0,Undergraduate,70.0,150,no,0.0,0,0,no,no
5049,54.0,32.0,1.0,Undergraduate,113.0,268,no,0.0,0,0,yes,yes
3081,54.0,10.0,1.0,Undergraduate,87.0,91,yes,3.3,0,0,yes,no
1597,41.0,40.0,1.0,Undergraduate,111.0,180,yes,2.7,0,0,no,yes
4506,38.0,16.0,2.0,Graduate,164.0,95,yes,3.6,0,0,yes,yes
1258,37.0,29.0,2.0,Advanced or Professional,93.0,101,no,0.0,0,0,no,no
3906,26.0,14.0,3.0,Undergraduate,109.0,149,no,0.0,0,0,yes,no
1101,31.0,22.0,2.0,Graduate,149.0,159,yes,3.1,0,0,yes,yes
2382,31.0,19.0,1.0,Undergraduate,69.0,0,yes,0.1,0,0,yes,no
4785,53.0,25.0,2.0,Graduate,43.0,109,no,0.0,0,0,no,no
1580,52.0,2.0,2.0,Graduate,72.0,0,no,0.0,0,0,no,no
2050,26.0,27.0,3.0,Advanced or Professional,61.0,135,no,0.0,0,0,no,no
1403,52.0,24.0,3.0,Graduate,77.0,0,yes,0.5,1,0,no,no
520,65.0,30.0,1.0,Graduate,115.0,0,no,0.0,0,0,yes,no
3690,49.0,10.0,3.0,Graduate,66.0,0,no,0.0,0,0,yes,no
3486,53.0,7.0,2.0,Graduate,157.0,388,no,0.0,0,1,yes,yes
3826,55.0,4.0,3.0,Undergraduate,83.0,0,no,0.0,0,0,yes,no
3819,51.0,17.0,4.0,Undergraduate,114.0,133,yes,2.7,0,0,yes,no
1350,44.0,32.0,3.0,Undergraduate,16.0,166,yes,0.4,0,0,no,no
472,62.0,28.0,3.0,Undergraduate,110.0,85,yes,1.4,0,0,yes,no
3895,,,2.0,Advanced or Professional,29.0,0,no,0.0,0,0,yes,no
4528,25.0,11.0,2.0,Advanced or Professional,51.0,184,no,0.0,0,0,yes,no
3564,23.0,0.0,2.0,Advanced or Professional,73.0,0,yes,3.2,0,0,no,no
5611,,8.0,,Undergraduate,229.0,0,yes,6.5,0,0,no,no
1315,47.0,1.0,1.0,Undergraduate,77.0,0,no,0.0,0,0,yes,no
602,63.0,21.0,3.0,Advanced or Professional,28.0,145,no,0.0,0,0,yes,no
3369,54.0,3.0,2.0,Advanced or Professional,111.0,0,no,0.0,0,0,yes,no
4973,42.0,25.0,4.0,Graduate,137.0,72,no,0.0,0,0,yes,yes
3913,26.0,9.0,1.0,Advanced or Professional,149.0,408,no,0.0,0,0,no,yes
170,40.0,4.0,4.0,Advanced or Professional,97.0,121,no,0.0,0,0,no,no
1679,48.0,32.0,4.0,Graduate,139.0,0,yes,3.3,0,0,no,yes
3728,38.0,37.0,2.0,Undergraduate,28.0,0,no,0.0,0,0,no,no
1406,46.0,14.0,1.0,Undergraduate,136.0,0,no,0.0,0,1,no,yes
5997,38.0,26.0,4.0,Undergraduate,77.0,101,no,0.0,0,0,yes,no
1788,42.0,9.0,3.0,Graduate,128.0,378,yes,4.3,0,1,yes,yes
5750,91.0,,3.0,Undergraduate,,0,no,0.0,0,0,yes,no
